"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2016-01","0","E","0",",E","8",",E","5",",E",,,"0",",E","11",",E","0",",E","1",",E","0",",E","21",",E,17,",,,"0.83",",,E,04,","70",",E,24,","2139","E","640",",E","1.71",",,,E","44.3",",E","53.5",",,,E","35.2",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2016-02","0","E","0",",E","11",",E","6",",E",,,"0",",E","15",",E","0",",E","0",",E","0",",E","18",",E,17,",,,"0.69",",,E,27,","64",",E,21,","2788","E","649",",E","1.94",",,,E","42.6",",E","53.1",",,,E","32.1",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2016-03","0","E","0",",E","12",",E","5",",E",,,"0",",E","16",",E","0",",E","1",",E","0",",E","21",",E,13,",,,"0.22",",,E,19,","75",",E,30,","3468","E","680",",E","1.24",",,,E","43.1",",E","54.4",",,,E","31.8",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2016-04","0","E","0",",E","11",",E","4",",E",,,"0",",E","8",",E","0",",E","3",",E","0",",E","26",",E,02,",,,"0.47",",,E,29,","73",",E,26,","3947","E","478",",E","1.38",",,,E","49.0",",E","62.1",",,,E","36.0",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2016-05","2","E","2",",E","6",",E","5",",E",,,"0",",E","3",",E","0",",E","16",",E","0",",E","27",",E,02,",,,"0.18",",,E,10,+","84",",E,27,","4207","E","261",",E","0.86",",,,E","56.6",",E","70.9",",,,E","42.4",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2016-06","114","E","112",",E","4",",E","2",",E",,,"0",",E","0",",E","0",",E","27",",E","7",",E","35",",E,01,",,,"0.92",",,E,29,","95",",E,22,","4266","E","58",",E","1.36",",,,E","66.8",",E","83.3",",,,E","50.3",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2016-07","386","E","272",",E","2",",E","2",",E",,,"0",",E","0",",E","0",",E","31",",E","21",",E","41",",E,15,",,,"0.43",",,E,11,","101",",E,19,","10","E","10",",E","0.57",",,,E","73.5",",E","90.2",",,,E","56.6",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2016-08","647","E","261",",E",,,,,,,"0",",E","0",",E","0",",E","31",",E","20",",E","42",",E,11,",,,,,"100",",E,03,","15","E","6",",E",,,"73.2",",E","90.7",",,,E","55.7",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2016-09","760","E","113",",E","4",",E","2",",E",,,"0",",E","0",",E","0",",E","26",",E","7",",E","41",",E,21,",,,"0.46",",,E,14,","99",",E,07,","90","E","75",",E","0.83",",,,E","66.3",",E","81.8",",,,E","50.8",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2016-10","762","E","2",",E","8",",E","5",",E",,,"0",",E","0",",E","0",",E","19",",E","0",",E","32",",E,31,",,,"0.61",",,E,23,","85",",E,04,","298","E","207",",E","1.37",",,,E","58.4",",E","72.3",",,,E","44.5",",,,E"
