"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2013-01","0","E","0",",E","10",",E","4",",E",,,"0",",E","20",",E","0",",E","0",",E","0",",E","20",",E,08,",,,"0.35",",,E,19,","64",",E,31,","2524","E","763",",E","1.26",",,,E","40.4",",E","50.9",",,,E","29.9",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2013-02","0","E","0",",E","11",",E","4",",E",,,"0",",E","20",",E","0",",E","0",",E","0",",E","22",",E,23,",,,"0.55",",,E,22,","61",",E,01,","3245","E","721",",E","1.31",",,,E","39.3",",E","47.8",",,,E","30.7",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2013-03","0","E","0",",E","17",",E","7",",E",,,"0",",E","8",",E","0",",E","0",",E","0",",E","24",",E,02,",,,"0.34",",,E,19,","65",",E,21,","3820","E","574",",E","2.06",",,,E","46.5",",E","55.5",",,,E","37.5",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2013-04","0","E","0",",E","12",",E","7",",E",,,"0",",E","8",",E","0",",E","6",",E","0",",E","26",",E,21,",,,"0.61",",,E,28,","84",",E,17,","4305","E","485",",E","2.39",",,,E","48.8",",E","60.9",",,,E","36.8",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2013-05","0","E","0",",E","13",",E","7",",E",,,"0",",E","5",",E","0",",E","6",",E","0",",E","31",",E,21,+",,,"0.28",",,E,27,","77",",E,09,","4747","E","442",",E","1.39",",,,E","50.7",",E","63.2",",,,E","38.3",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2013-06","39","E","39",",E","10",",E","7",",E",,,"0",",E","0",",E","0",",E","23",",E","1",",E","36",",E,03,",,,"2.01",",,E,21,","94",",E,16,","4898","E","151",",E","3.66",",,,E","61.2",",E","76.0",",,,E","46.5",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2013-07","270","E","230",",E","10",",E","7",",E",,,"0",",E","0",",E","0",",E","31",",E","13",",E","49",",E,29,",,,"0.47",",,E,20,","96",",E,31,","0","E","0",",E","1.57",",,,E","72.4",",E","88.3",",,,E","56.6",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2013-08","464","E","194",",E","5",",E","4",",E",,,"0",",E","0",",E","0",",E","30",",E","12",",E","45",",E,09,",,,"0.63",",,E,28,","99",",E,01,","18","E","18",",E","1.18",",,,E","70.7",",E","86.2",",,,E","55.2",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2013-09","509","E","45",",E","3",",E","1",",E",,,"0",",E","0",",E","0",",E","29",",E","0",",E","38",",E,12,",,,"0.17",",,E,27,","89",",E,25,","69","E","51",",E","0.34",",,,E","64.8",",E","79.9",",,,E","49.7",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2013-10","520","E","11",",E","4",",E","2",",E",,,"0",",E","3",",E","0",",E","26",",E","0",",E","24",",E,31,",,,"0.20",",,E,03,","87",",E,02,","296","E","227",",E","0.44",",,,E","58.0",",E","72.7",",,,E","43.4",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2013-11","520","E","0",",E","8",",E","4",",E",,,"0",",E","15",",E","0",",E","2",",E","0",",E","14",",E,29,",,,"1.07",",,E,16,","76",",E,02,","931","E","634",",E","2.36",",,,E","43.9",",E","53.7",",,,E","34.0",",,,E"
"SPE00120539","CALAMOCHA, SP","40.9258","-1.2931","890.0","2013-12","520","E","0",",E","5",",E","4",",E",,,"0",",E","25",",E","0",",E","0",",E","0",",E","16",",E,02,",,,"0.28",",,E,19,","62",",E,16,","1746","E","815",",E","0.87",",,,E","38.7",",E","52.4",",,,E","24.9",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2013-01","0","E","0",",E","21",",E","14",",E",,,"0",",E","0",",E","0",",E","0",",E","0",",E","35",",E,11,",,,"1.77",",,E,19,","69",",E,29,","1827","E","538",",E","8.34",",,,E","47.6",",E","53.9",",,,E","41.4",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2013-02","0","E","0",",E","21",",E","14",",E",,,"0",",E","1",",E","0",",E","0",",E","0",",E","31",",E,27,",,,"0.89",",,E,05,","63",",E,01,","2392","E","565",",E","8.06",",,,E","44.8",",E","50.8",",,,E","38.8",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2013-03","0","E","0",",E","20",",E","14",",E",,,"0",",E","2",",E","0",",E","0",",E","0",",E","31",",E,13,",,,"1.25",",,E,12,","68",",E,08,","2868","E","475",",E","7.40",",,,E","49.7",",E","56.7",",,,E","42.6",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2013-04","0","E","0",",E","18",",E","13",",E",,,"0",",E","0",",E","0",",E","5",",E","0",",E","34",",E,28,",,,"2.05",",,E,30,","77",",E,13,","3274","E","407",",E","7.16",",,,E","51.4",",E","59.1",",,,E","43.8",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2013-05","0","E","0",",E","19",",E","13",",E",,,"0",",E","0",",E","0",",E","1",",E","0",",E","38",",E,03,",,,"1.18",",,E,17,","73",",E,05,","3682","E","407",",E","5.09",",,,E","51.9",",E","58.5",",,,E","45.2",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2013-06","6","E","6",",E","14",",E","7",",E",,,"0",",E","0",",E","0",",E","8",",E","0",",E","44",",E,03,",,,"0.67",",,E,07,","78",",E,11,","3861","E","179",",E","2.82",",,,E","59.2",",E","66.5",",,,E","52.0",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2013-07","134","E","128",",E","9",",E","1",",E",,,"0",",E","0",",E","0",",E","27",",E","0",",E","51",",E,28,",,,"0.15",",,E,25,","90",",E,31,","8","E","8",",E","0.36",",,,E","68.9",",E","77.3",",,,E","60.5",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2013-08","190","E","56",",E","8",",E","3",",E",,,"0",",E","0",",E","0",",E","28",",E","0",",E","53",",E,30,",,,"0.19",",,E,06,","86",",E,21,","23","E","15",",E","0.77",",,,E","66.3",",E","74.4",",,,E","58.3",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2013-09","271","E","80",",E","11",",E","4",",E",,,"0",",E","0",",E","0",",E","21",",E","1",",E","50",",E,12,",,,"0.41",",,E,06,","91",",E,23,","78","E","55",",E","1.52",",,,E","65.8",",E","74.6",",,,E","57.1",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2013-10","281","E","11",",E","14",",E","9",",E",,,"0",",E","0",",E","0",",E","17",",E","0",",E","41",",E,30,",,,"0.55",",,E,14,","81",",E,03,","201","E","123",",E","2.71",",,,E","61.4",",E","69.6",",,,E","53.1",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2013-11","281","E","0",",E","20",",E","13",",E",,,"0",",E","0",",E","0",",E","2",",E","0",",E","34",",E,29,",,,"1.59",",,E,15,","71",",E,06,","645","E","444",",E","6.90",",,,E","50.2",",E","55.2",",,,E","45.2",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2013-12","281","E","0",",E","11",",E","4",",E",,,"0",",E","0",",E","0",",E","0",",E","0",",E","33",",E,09,+",,,"0.72",",,E,18,","68",",E,27,+","1179","E","533",",E","2.09",",,,E","47.8",",E","55.8",",,,E","39.8",",,,E"
"SPE00156054","CALDES DE MONTBUI, SP","41.6128","2.1681","176.0","2013-01","0","E","0",",E","8",",E","1",",E",,,"0",",E","18",",E","0",",E","0",",E","0",",E","26",",E,12,",,,"0.43",",,E,19,","69",",E,05,","1775","E","628",",E","0.83",",,,E","44.7",",E","57.3",",,,E","32.2",",,,E"
"SPE00156054","CALDES DE MONTBUI, SP","41.6128","2.1681","176.0","2013-02","0","E","0",",E","5",",E","3",",E",,,"0",",E","14",",E","0",",E","0",",E","0",",E","23",",E,24,",,,"0.34",",,E,23,","65",",E,01,","2370","E","595",",E","0.79",",,,E","43.8",",E","54.5",",,,E","33.0",",,,E"
"SPE00156054","CALDES DE MONTBUI, SP","41.6128","2.1681","176.0","2013-03","0","E","0",",E","12",",E","7",",E",,,"0",",E","4",",E","0",",E","0",",E","0",",E","28",",E,15,",,,"1.87",",,E,05,","70",",E,28,","2833","E","463",",E","3.89",",,,E","50.1",",E","60.7",",,,E","39.4",",,,E"
"SPE00156054","CALDES DE MONTBUI, SP","41.6128","2.1681","176.0","2013-04","0","E","0",",E","11",",E","8",",E",,,"0",",E","0",",E","0",",E","7",",E","0",",E","34",",E,07,",,,"1.27",",,E,04,","77",",E,17,","3154","E","321",",E","4.87",",,,E","54.3",",E","65.6",",,,E","43.0",",,,E"
"SPE00156054","CALDES DE MONTBUI, SP","41.6128","2.1681","176.0","2013-05","1","E","1",",E","11",",E","3",",E",,,"0",",E","0",",E","0",",E","10",",E","0",",E","38",",E,30,",,,"1.00",",,E,15,","79",",E,06,","3388","E","233",",E","2.06",",,,E","57.5",",E","68.9",",,,E","46.1",",,,E"
"SPE00156054","CALDES DE MONTBUI, SP","41.6128","2.1681","176.0","2013-06","87","E","86",",E","4",",E","1",",E",,,"0",",E","0",",E","0",",E","30",",E","0",",E","45",",E,03,",,,"0.43",",,E,08,","89",",E,13,","3411","E","24",",E","0.53",",,,E","67.1",",E","79.3",",,,E","54.8",",,,E"
"SPE00156054","CALDES DE MONTBUI, SP","41.6128","2.1681","176.0","2013-07","439","E","351",",E","4",",E","4",",E",,,"0",",E","0",",E","0",",E","31",",E","11",",E","58",",E,03,",,,"0.24",",,E,18,","95",",E,26,","0","E","0",",E","0.67",",,,E","76.3",",E","89.1",",,,E","63.5",",,,E"
"SPE00156054","CALDES DE MONTBUI, SP","41.6128","2.1681","176.0","2013-08","736","E","298",",E","6",",E","3",",E",,,"0",",E","0",",E","0",",E","31",",E","9",",E","56",",E,09,",,,"0.22",",,E,08,","92",",E,02,","0","E","0",",E","0.65",",,,E","74.6",",E","86.4",",,,E","62.8",",,,E"
"SPE00156054","CALDES DE MONTBUI, SP","41.6128","2.1681","176.0","2013-09","857","E","120",",E","4",",E","4",",E",,,"0",",E","0",",E","0",",E","28",",E","0",",E","54",",E,30,",,,"3.43",",,E,08,","88",",E,27,","1","E","1",",E","5.81",",,,E","69.0",",E","80.5",",,,E","57.4",",,,E"
