"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2019-03","0",,"0",",E","8",",E","5",",E",,,"0",",E","0",",E","0",",E","2",",E","0",",E","36",",E,27,",,,"0.26",",,E,12,","74",",E,03,","2631",,"409",",E","0.93",",,,E","51.8",",E","61.4",",,,E","42.2",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2019-04","0",,"0",",E","17",",E","10",",E",,,"0",",E","0",",E","0",",E","4",",E","0",",E","36",",E,04,",,,"0.57",",,E,23,","75",",E,17,","2971",,"340",",E","3.09",",,,E","53.7",",E","62.8",",,,E","44.5",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2019-05","9",,"9",",E","7",",E","4",",E",,,"0",",E","0",",E","0",",E","6",",E","0",",E","42",",E,20,+",,,"0.83",",,E,09,","87",",E,31,","3232",,"261",",E","2.25",",,,E","56.9",",E","65.8",",,,E","47.9",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2019-06","39",,"30",",E","15",",E","7",",E",,,"0",",E","0",",E","0",",E","9",",E","0",",E","44",",E,06,",,,"0.65",",,E,23,","86",",E,01,","3388",,"156",",E","3.48",",,,E","60.8",",E","68.0",",,,E","53.6",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2019-07","130",,"90",",E","13",",E","7",",E",,,"0",",E","0",",E","0",",E","24",",E","0",",E","53",",E,31,",,,"0.75",",,E,25,","84",",E,24,","21",,"21",",E","2.15",",,,E","67.2",",E","74.6",",,,E","59.9",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2019-08","229",,"99",",E","14",",E","5",",E",,,"0",",E","0",",E","0",",E","28",",E","1",",E","52",",E,13,",,,"0.61",",,E,06,","93",",E,23,","36",,"15",",E","2.05",",,,E","67.7",",E","75.5",",,,E","59.9",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2019-09","266",,"36",",E","8",",E","6",",E",,,"0",",E","0",",E","0",",E","22",",E","0",",E","49",",E,07,",,,"0.47",",,E,10,","82",",E,20,","97",,"60",",E","1.90",",,,E","64.2",",E","72.1",",,,E","56.3",",,,E"
"SPE00119828","OVIEDO, SP","43.3542","-5.8728","336.0","2019-10",,,,,"17",",S","8",",S",,,,,,,,,,,,,,,,,"1.90",",,S,20,",,,,,,,"5.09",",,,S",,,,,,
"SPE00156054","CALDES DE MONTBUI, SP","41.6128","2.1681","176.0","2018-10","1205","E","20",",E","16",",E","8",",E",,,"0",",E","0",",E","0",",E","24",",E","0",",E","36",",E,30,",,,"1.85",",,E,31,","81",",E,03,","115","E","115",",E","5.60",",,,E","62.0",",E","72.2",",,,E","51.7",",,,E"
"SPE00156054","CALDES DE MONTBUI, SP","41.6128","2.1681","176.0","2018-11","1205","E","0",",E","13",",E","8",",E",,,"0",",E","0",",E","0",",E","2",",E","0",",E","35",",E,27,",,,"1.62",",,E,15,","72",",E,11,","476","E","361",",E","4.19",",,,E","53.0",",E","62.2",",,,E","43.7",",,,E"
"SPE00156054","CALDES DE MONTBUI, SP","41.6128","2.1681","176.0","2018-12","1205","E","0",",E","3",",E","2",",E",,,"0",",E","6",",E","0",",E","0",",E","0",",E","27",",E,30,",,,"0.11",",,E,13,","68",",E,23,","996","E","520",",E","0.27",",,,E","48.2",",E","59.7",",,,E","36.7",",,,E"
"SPE00156450","PORTBOU, SP","42.4353","3.1658","196.0","2018-10","1390","E","36",",E","15",",E","12",",E",,,"0",",E","0",",E","0",",E","11",",E","0",",E","41",",E,29,",,,"1.68",",,E,10,","79",",E,25,","109","E","109",",E","9.13",",,,E","62.7",",E","67.7",",,,E","57.6",",,,E"
"SPE00156450","PORTBOU, SP","42.4353","3.1658","196.0","2018-11","1390","E","0",",E","10",",E","4",",E",,,"0",",E","0",",E","0",",E","1",",E","0",",E","45",",E,25,",,,"0.90",",,E,18,","73",",E,11,","378","E","269",",E","2.54",",,,E","56.0",",E","60.7",",,,E","51.4",",,,E"
"SPE00156450","PORTBOU, SP","42.4353","3.1658","196.0","2018-12","1390","E","0",",E","3",",E","3",",E",,,"0",",E","0",",E","0",",E","1",",E","0",",E","43",",E,14,",,,"0.54",",,E,13,","71",",E,03,","698","E","320",",E","1.17",",,,E","54.7",",E","59.3",",,,E","50.0",",,,E"
"SP000008202","SALAMANCA AEROPUERTO, SP","40.9592","-5.4981","790.0","2018-10","592","E","0",",E","8",",E","4",",E",,,"0",",E","2",",E","0",",E","16",",E","0",",E","26",",E,28,",,,"0.36",",,E,30,","83",",E,05,","324","E","320",",E","1.17",",,,E","54.7",",E","68.1",",,,E","41.3",",,,E"
"SP000008202","SALAMANCA AEROPUERTO, SP","40.9592","-5.4981","790.0","2018-11","592","E","0",",E","15",",E","8",",E",,,"0",",E","6",",E","0",",E","0",",E","0",",E","28",",E,28,",,,"0.83",",,E,04,","67",",E,02,","853","E","529",",E","2.87",",,,E","47.4",",E","56.1",",,,E","38.6",",,,E"
"SP000008202","SALAMANCA AEROPUERTO, SP","40.9592","-5.4981","790.0","2018-12","592","E","0",",E","6",",E","1",",E",,,"0",",E","20",",E","0",",E","0",",E","0",",E","22",",E,31,",,,"0.28",",,E,12,","63",",E,09,","1554","E","701",",E","0.51",",,,E","42.4",",E","53.4",",,,E","31.3",",,,E"
"SP000008202","SALAMANCA AEROPUERTO, SP","40.9592","-5.4981","790.0","2019-01","0",,"0",",E","4",",E","2",",E",,,"0",",E","23",",E","0",",E","0",",E","0",",E","17",",E,06,+",,,"0.25",",,E,19,","60",",E,24,","2435",,"881",",E","0.56",",,,E","36.6",",E","47.5",",,,E","25.6",",,,E"
"SP000008202","SALAMANCA AEROPUERTO, SP","40.9592","-5.4981","790.0","2019-02","0",,"0",",E","1",",E","1",",E",,,"0",",E","23",",E","0",",E","1",",E","0",",E","22",",E,04,",,,"0.23",",,E,01,","73",",E,26,","3029",,"594",",E","0.24",",,,E","43.8",",E","59.6",",,,E","28.0",",,,E"
"SP000008202","SALAMANCA AEROPUERTO, SP","40.9592","-5.4981","790.0","2019-03","0",,"0",",E","4",",E","1",",E",,,"0",",E","20",",E","0",",E","2",",E","0",",E","25",",E,01,",,,"0.48",",,E,06,","74",",E,16,","3575",,"546",",E","0.53",",,,E","47.4",",E","63.1",",,,E","31.6",",,,E"
"SP000008202","SALAMANCA AEROPUERTO, SP","40.9592","-5.4981","790.0","2019-04","0",,"0",",E","12",",E","6",",E",,,"0",",E","5",",E","0",",E","5",",E","0",",E","23",",E,04,",,,"0.20",",,E,22,","77",",E,30,","4030",,"455",",E","1.16",",,,E","49.8",",E","62.0",",,,E","37.7",",,,E"
"SP000008202","SALAMANCA AEROPUERTO, SP","40.9592","-5.4981","790.0","2019-05","7",,"7",",E","2",",E","0",",E",,,"0",",E","0",",E","0",",E","23",",E","0",",E","35",",E,18,",,,"0.07",",,E,09,","89",",E,31,","4216",,"185",",E","0.11",",,,E","59.3",",E","75.1",",,,E","43.4",",,,E"
"SP000008202","SALAMANCA AEROPUERTO, SP","40.9592","-5.4981","790.0","2019-06","110",,"103",",E","3",",E","1",",E",,,"0",",E","0",",E","0",",E","27",",E","6",",E","38",",E,06,",,,"0.15",",,E,06,","103",",E,28,","4312",,"96",",E","0.18",",,,E","65.2",",E","81.1",",,,E","49.3",",,,E"
"SP000008202","SALAMANCA AEROPUERTO, SP","40.9592","-5.4981","790.0","2019-07","338",,"228",",E","2",",E","0",",E",,,"0",",E","0",",E","0",",E","31",",E","17",",E","45",",E,30,",,,"0.08",",,E,13,","101",",E,12,","3",,"3",",E","0.13",",,,E","72.2",",E","89.3",",,,E","55.1",",,,E"
"SP000008202","SALAMANCA AEROPUERTO, SP","40.9592","-5.4981","790.0","2019-08","509",,"171",",E","4",",E","3",",E",,,"0",",E","0",",E","0",",E","31",",E","13",",E","45",",E,12,",,,"0.93",",,E,25,","95",",E,24,","13",,"10",",E","1.22",",,,E","70.2",",E","86.6",",,,E","53.8",",,,E"
"SP000008202","SALAMANCA AEROPUERTO, SP","40.9592","-5.4981","790.0","2019-09","534",,"25",",E","4",",E","4",",E",,,"0",",E","0",",E","0",",E","27",",E","0",",E","41",",E,27,",,,"0.30",",,E,21,+","89",",E,04,","84",,"71",",E","0.98",",,,E","63.5",",E","78.7",",,,E","48.2",",,,E"
"SPE00156297","LA QUAR, SP","42.0803","1.9625","873.0","2018-10","631","E","1",",E","14",",E","8",",E",,,"0",",E","2",",E","0",",E","11",",E","0",",E","29",",E,30,",,,"2.05",",,E,14,","76",",E,03,","295","E","280",",E","8.13",",,,E","56.0",",E","64.5",",,,E","47.4",",,,E"
"SPE00156297","LA QUAR, SP","42.0803","1.9625","873.0","2018-11","631","E","0",",E","11",",E","9",",E",,,"0",",E","0",",E","0",",E","0",",E","0",",E","33",",E,24,",,,"0.79",",,E,05,","64",",E,11,","843","E","549",",E","2.81",",,,E","46.7",",E","54.1",",,,E","39.3",",,,E"
"SPE00156297","LA QUAR, SP","42.0803","1.9625","873.0","2018-12","631","E","0",",E","2",",E","2",",E",,,"0",",E","3",",E","0",",E","0",",E","0",",E","31",",E,01,",,,"0.12",",,E,13,","62",",E,24,","1512","E","668",",E","0.22",",,,E","43.4",",E","50.4",",,,E","36.4",",,,E"
"SPE00156333","MALNIU, SP","42.4658","1.7781","2230.0","2018-10","0","E","0",",E","15",",E","9",",E",,,"0",",E","8",",E","4",",E","0",",E","0",",E","18",",E,29,",,,"1.98",",,E,14,","62",",E,25,","1611","E","718",",E","8.06",",,,E","41.8",",E","47.6",",,,E","36.0",",,,E"
"SPE00156333","MALNIU, SP","42.4658","1.7781","2230.0","2018-11","0","E","0",",E","16",",E","9",",E",,,"0",",E","23",",E","4",",E","0",",E","0",",E","20",",E,27,",,,"0.63",",,E,05,","50",",E,13,","2557","E","946",",E","2.83",",,,E","33.5",",E","38.8",",,,E","28.1",",,,E"
"SPE00156333","MALNIU, SP","42.4658","1.7781","2230.0","2018-12","0","E","0",",E","5",",E","3",",E",,,"0",",E","12",",E","1",",E","0",",E","0",",E","22",",E,20,",,,"0.30",",,E,16,","55",",E,05,","3393","E","836",",E","0.62",",,,E","38.0",",E","44.2",",,,E","31.9",",,,E"
"SPE00156576","TARRAGONA COMPLEX EDUCATIU, SP","41.1039","1.2008","5.0","2018-10","1569","E","73",",E","11",",E","9",",E",,,"0",",E","0",",E","0",",E","26",",E","0",",E","45",",E,30,",,,"3.98",",,E,14,","81",",E,01,","60","E","60",",E","15.22",",,,E","65.4",",E","74.1",",,,E","56.8",",,,E"
"SPE00156576","TARRAGONA COMPLEX EDUCATIU, SP","41.1039","1.2008","5.0","2018-11","1569","E","0",",E","11",",E","7",",E",,,"0",",E","0",",E","0",",E","6",",E","0",",E","40",",E,24,",,,"1.06",",,E,09,","76",",E,11,","293","E","234",",E","2.60",",,,E","57.2",",E","66.1",",,,E","48.4",",,,E"
"SPE00156576","TARRAGONA COMPLEX EDUCATIU, SP","41.1039","1.2008","5.0","2018-12","1569","E","0",",E","1",",E","1",",E",,,"0",",E","0",",E","0",",E","0",",E","0",",E","35",",E,30,",,,"0.20",",,E,13,","69",",E,31,+","648","E","355",",E","0.20",",,,E","53.5",",E","63.4",",,,E","43.7",",,,E"
"SP000008280","ALBACETE LOS LLANOS, SP","38.9519","-1.8631","704.0","2018-10","1186","E","7",",E","9",",E","6",",E",,,"0",",E","0",",E","0",",E","18",",E","0",",E","34",",E,29,",,,"0.52",",,E,30,","83",",E,06,","223","E","221",",E","1.53",",,,E","58.1",",E","69.7",",,,E","46.5",",,,E"
"SP000008280","ALBACETE LOS LLANOS, SP","38.9519","-1.8631","704.0","2018-11","1186","E","0",",E","10",",E","4",",E",,,"0",",E","5",",E","0",",E","0",",E","0",",E","26",",E,29,",,,"0.91",",,E,08,","67",",E,11,","693","E","470",",E","1.75",",,,E","49.3",",E","58.1",",,,E","40.6",",,,E"
"SP000008280","ALBACETE LOS LLANOS, SP","38.9519","-1.8631","704.0","2018-12","1186","E","0",",E","2",",E","1",",E",,,"0",",E","13",",E","0",",E","1",",E","0",",E","22",",E,31,",,,"0.22",",,E,13,","70",",E,05,","1350","E","657",",E","0.32",",,,E","43.8",",E","55.4",",,,E","32.2",",,,E"
"SP000008280","ALBACETE LOS LLANOS, SP","38.9519","-1.8631","704.0","2019-01","0",,"0",",E","3",",E","0",",E",,,"0",",E","23",",E","0",",E","0",",E","0",",E","17",",E,11,",,,"0.06",",,E,20,","61",",E,01,","2098",,"749",",E","0.15",",,,E","40.9",",E","53.1",",,,E","28.6",",,,E"
"SP000008280","ALBACETE LOS LLANOS, SP","38.9519","-1.8631","704.0","2019-02","0",,"0",",E","1",",E","1",",E",,,"0",",E","15",",E","0",",E","2",",E","0",",E","26",",E,05,",,,"0.14",",,E,01,","71",",E,28,","2629",,"530",",E","0.14",",,,E","46.1",",E","60.4",",,,E","31.7",",,,E"
"SP000008280","ALBACETE LOS LLANOS, SP","38.9519","-1.8631","704.0","2019-03","0",,"0",",E","4",",E","2",",E",,,"0",",E","10",",E","0",",E","7",",E","0",",E","27",",E,22,",,,"0.53",",,E,31,","76",",E,16,","3085",,"456",",E","0.83",",,,E","50.3",",E","65.4",",,,E","35.2",",,,E"
"SP000008280","ALBACETE LOS LLANOS, SP","38.9519","-1.8631","704.0","2019-04","0",,"0",",E","13",",E","8",",E",,,"0",",E","1",",E","0",",E","8",",E","0",",E","32",",E,11,",,,"2.50",",,E,19,","78",",E,15,","3470",,"386",",E","5.46",",,,E","52.1",",E","62.5",",,,E","41.8",",,,E"
"SP000008280","ALBACETE LOS LLANOS, SP","38.9519","-1.8631","704.0","2019-05","20",,"20",",E","3",",E","0",",E",,,"0",",E","0",",E","0",",E","27",",E","0",",E","38",",E,04,",,,"0.06",",,E,08,","88",",E,15,","3565",,"94",",E","0.14",",,,E","62.6",",E","76.4",",,,E","48.8",",,,E"
"SP000008280","ALBACETE LOS LLANOS, SP","38.9519","-1.8631","704.0","2019-06","225",,"204",",E","1",",E","1",",E",,,"0",",E","0",",E","0",",E","30",",E","10",",E","44",",E,12,",,,"0.32",",,E,13,","101",",E,29,","3579",,"14",",E","0.32",",,,E","71.4",",E","87.1",",,,E","55.6",",,,E"
"SP000008280","ALBACETE LOS LLANOS, SP","38.9519","-1.8631","704.0","2019-07","658",,"433",",E","2",",E","1",",E",,,"0",",E","0",",E","0",",E","31",",E","26",",E","58",",E,04,",,,"0.63",",,E,07,","102",",E,12,","0",,"0",",E","0.67",",,,E","79.0",",E","93.6",",,,E","64.4",",,,E"
